company,year,revenue,ebit,net_income_to_shareholders,share_price_31_dec,shares_outstand_31_dec,market_capitalisation_31_dec,equity_to_owner_31_dec,balance_sheet_tot_31_dec,net_income_ratio,equity_ratio_31_dec,price_earning_ratio_31_dec,price_to_book_ratio_31_dec,employees_31_dec,growth_revenue,growth_ebit,growth_net_income,growth_market_capitalisation,growth_equity,SEK_EUR_31_dec,GBP_EUR_31_dec,,
eiffage,2008,13293000000,1072000000,301000000,37.48,91583342,3432543658,2728000000,25960000000,2.26%,10.51%,11.40,1.26,71181,105.69%,99.54%,30.10%,54.60%,94.72%,,,,
eiffage,2009,13639000000,907000000,190000000,39.19,90000000,3527100000,2598000000,25252000000,1.39%,10.29%,18.56,1.36,70666,108.44%,84.22%,19.00%,56.11%,90.21%,,,,
eiffage,2010,13553000000,1007000000,232000000,33.10,90000000,2979000000,2458000000,25993000000,1.71%,9.46%,12.84,1.21,70893,107.76%,93.50%,23.20%,47.39%,85.35%,,,,
eiffage,2011,13802000000,1044000000,205000000,18.85,87162131,1643006169,2348000000,27170000000,1.49%,8.64%,8.01,0.70,70221,109.74%,96.94%,20.50%,26.14%,81.53%,,,,
eiffage,2012,14028000000,1142000000,220000000,33.61,87162131,2929519223,2318000000,26985000000,1.57%,8.59%,13.32,1.26,68839,111.54%,106.04%,22.00%,46.60%,80.49%,,,,
eiffage,2013,14272000000,1262000000,257000000,41.80,89438630,3738534734,2704000000,27376000000,1.80%,9.88%,14.55,1.38,67428,113.48%,117.18%,25.70%,59.47%,93.89%,,,,
eiffage,2014,13948000000,1290000000,275000000,41.85,92271466,3861560852,2902000000,28868000000,1.97%,10.05%,14.04,1.33,66470,110.90%,119.78%,27.50%,61.43%,100.76%,,,,
eiffage,2015,13909000000,1337000000,312000000,59.66,95433991,5693591903,3197000000,28114000000,2.24%,11.37%,18.25,1.78,64093,110.59%,124.14%,31.20%,90.57%,111.01%,,,,
eiffage,2016,14008000000,1526000000,475000000,66.34,98082265,6506777460,3642000000,29503000000,3.39%,12.34%,13.70,1.79,63164,111.38%,141.69%,47.50%,103.51%,126.46%,,,,
eiffage,2017,15368000000,1676000000,548000000,91.45,98003766,8962444401,4290000000,30026000000,3.57%,14.29%,16.35,2.09,65000,122.19%,155.62%,54.80%,142.57%,148.96%,,,,
eiffage,2018,16890000000,1806000000,629000000,72.72,98000000,7126560000,4756000000,30368000000,3.72%,15.66%,11.33,1.50,70400,134.29%,167.69%,62.90%,113.37%,165.14%,,,,
eiffage,2019,18690000000,1937000000,725000000,102.05,98000000,10000900000,5248000000,32877000000,3.88%,15.96%,13.79,1.91,,148.60%,179.85%,72.50%,159.09%,182.22%,,,,
strabag,2007,9878600000,312430000,170229000,48.72,113999997,5554079854,2870504000,7740810000,1.72%,37.08%,32.63,1.93,61125,100.00%,100.00%,100.00%,100.00%,100.00%,,,,
strabag,2008,12277800000,269870000,157020000,16.20,113999997,1846799951,2837557000,9765210000,1.28%,29.06%,11.76,0.65,73008,124.29%,86.38%,92.24%,33.25%,98.85%,,,,
strabag,2009,12551930000,282850000,161457000,20.70,113999997,2359799938,2950187000,9613590000,1.29%,30.69%,14.62,0.80,75548,127.06%,90.53%,94.85%,42.49%,102.78%,,,,
strabag,2010,12381540000,298950000,174857000,20.50,113999997,2336999939,3091110000,10382160000,1.41%,29.77%,13.37,0.76,73600,125.34%,95.69%,102.72%,42.08%,107.69%,,,,
strabag,2011,13713800000,334780000,194995000,22.11,105224733,2326518847,2938744000,10386050000,1.42%,28.30%,11.93,0.79,76866,138.82%,107.15%,114.55%,41.89%,102.38%,,,,
strabag,2012,12983230000,207190000,60631000,20.43,103087657,2106080833,2861514000,10137690000,0.47%,28.23%,34.74,0.74,74010,131.43%,66.32%,35.62%,37.92%,99.69%,,,,
strabag,2013,12394150000,261580000,113558000,21.32,102599997,2187431936,2916988000,10560790000,0.92%,27.62%,19.26,0.75,73100,125.46%,83.72%,66.71%,39.38%,101.62%,,,,
strabag,2014,12475670000,281960000,127969000,18.18,102599997,1865267945,2884712000,10275540000,1.03%,28.07%,14.58,0.65,72906,126.29%,90.25%,75.17%,33.58%,100.49%,,,,
strabag,2015,13123480000,341040000,156290000,23.58,102599997,2419307929,3039031000,10728870000,1.19%,28.33%,15.48,0.80,73315,132.85%,109.16%,91.81%,43.56%,105.87%,,,,
strabag,2016,12400460000,424910000,277650000,33.65,102599997,3452489899,3264510449,10378410000,2.24%,31.45%,12.43,1.06,71839,125.53%,136.00%,163.10%,62.16%,113.73%,,,,
strabag,2017,13508720000,448360000,278910000,34.03,102599997,3491477898,3370473000,11054120000,2.06%,30.49%,12.52,1.04,72904,136.75%,143.51%,163.84%,62.86%,117.42%,,,,
strabag,2018,15221830000,558210000,353530000,25.65,102599997,2631689923,3620685000,11567610000,2.32%,31.30%,7.44,0.73,75460,154.09%,178.67%,207.68%,47.38%,126.13%,,,,
strabag,2019,15668570000,602580000,371700000,31.00,102599997,3180599907,3822204000,12250810000,2.37%,31.20%,8.56,0.83,76919,158.61%,192.87%,218.35%,57.27%,133.15%,,,,
balfour beatty,2019,8638081739,,,,,,,,,,,,26000,,,,,,,0.8466,,
ferrovial,2019,6054000000,,,,,,,,,,,,89968,,,,,,,,,
BAM,2019,7209000000,,,,,,,,,,,,19517,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,data taken from annual reports of companies available on their web pages under rubrik investor relations,
,,,,,,,,,,,,,,,,,,,,,,skanska currency SEK calculated into euro with exchange rate at 31th december,
,,,,,,,,,,,,,,,,,,,,,,balfour beatty currency GBP calculated into euro with exchange rate at 31th december,
,,,,,,,,,,,,,,,,,,,,,,rank,
,,,,,,,,,,,,,,,,,,,,,,1,Vinci
,,,,,,,,,,,,,,,,,,,,,,2,ACS
,,,,,,,,,,,,,,,,,,,,,,3,Bouygues
,,,,,,,,,,,,,,,,,,,,,,4,Eiffage
,,,,,,,,,,,,,,,,,,,,,,5,Skanska
,,,,,,,,,,,,,,,,,,,,,,6,Strabag
,,,,,,,,,,,,,,,,,,,,,,7,Balfour Beatty
,,,,,,,,,,,,,,,,,,,,,,8,BAM
,,,,,,,,,,,,,,,,,,,,,,9,Ferrovial
